brand,age,fueltype,type,price
Toyota,3,gas,pickup,32991
Ford,19,gas,sedan,2700
Chevrolet,6,gas,pickup,33693
Toyota,15,gas,SUV,16900
Chevrolet,15,other,sedan,4500
Toyota,15,gas,sedan,5300
Honda,2,gas,pickup,40590
Honda,3,gas,sedan,20917
Chevrolet,8,other,pickup,32590
Toyota,5,gas,pickup,30990
Chevrolet,3,gas,SUV,20495
Nissan,6,gas,sedan,16588
Honda,4,gas,sedan,22147
